D	     1	0.00000e+00
N	     2	-1.00000e+00
N	     7	-1.00000e+00
N	    12	-1.00000e+00
N	    19	-1.00000e+00
N	    28	-1.00000e+00
N	    37	-1.00000e+00
N	    49	-1.00000e+00
N	    65	-1.00000e+00
N	    82	-1.00000e+00
N	    98	-1.00000e+00
N	   116	-1.00000e+00
N	   138	-1.00000e+00
N	   161	-1.00000e+00
N	   189	-1.00000e+00
N	   214	-1.00000e+00
N	   239	-1.00000e+00
N	   266	-1.00000e+00
N	   296	-1.00000e+00
N	   334	-1.00000e+00
N	   372	-1.00000e+00
N	   409	-1.00000e+00
N	   448	-1.00000e+00
N	   485	-1.00000e+00
N	   530	-1.00000e+00
N	   577	-1.00000e+00
N	   621	-1.00000e+00
N	   670	-1.00000e+00
N	   723	-1.00000e+00
N	   773	-1.00000e+00
N	   823	-1.00000e+00
N	   880	-1.00000e+00
N	   947	-1.00000e+00
N	  1006	-1.00000e+00
N	  1068	-1.00000e+00
N	  1143	-1.00000e+00
N	  1213	-1.00000e+00
N	  1275	-1.00000e+00
N	  1335	-1.00000e+00
N	  1392	-1.00000e+00
N	  1446	-1.00000e+00
N	  1498	-1.00000e+00
N	  1548	-1.00000e+00
N	  1602	-1.00000e+00
N	  1655	-1.00000e+00
N	  1706	-1.00000e+00
N	  1759	-1.00000e+00
N	  1812	-1.00000e+00
N	  1865	-1.00000e+00
N	  1920	-1.00000e+00
N	  1979	-1.00000e+00
N	  2049	-1.00000e+00
N	  2120	-1.00000e+00
N	  2193	-1.00000e+00
N	  2266	-1.00000e+00
N	  2340	-1.00000e+00
N	  2418	-1.00000e+00
N	  2498	-1.00000e+00
N	  2585	-1.00000e+00
N	  2683	-1.00000e+00
N	  2805	-1.00000e+00
N	  2932	-1.00000e+00
N	  3044	-1.00000e+00
N	  3159	-1.00000e+00
N	  3270	-1.00000e+00
N	  3386	-1.00000e+00
N	  3496	-1.00000e+00
N	  3622	1.00000e+00
N	  3623	-1.00000e+00
N	  3624	1.00000e+00
N	  3630	1.00000e+00
N	  3635	1.00000e+00
N	  3642	1.00000e+00
N	  3651	1.00000e+00
N	  3660	1.00000e+00
N	  3674	1.00000e+00
N	  3681	1.00000e+00
N	  3700	1.00000e+00
N	  3719	1.00000e+00
N	  3727	1.00000e+00
N	  3748	1.00000e+00
N	  3767	1.00000e+00
N	  3784	1.00000e+00
N	  3806	1.00000e+00
N	  3826	1.00000e+00
N	  3846	1.00000e+00
N	  3871	1.00000e+00
N	  3898	1.00000e+00
N	  3915	1.00000e+00
N	  3944	1.00000e+00
N	  3963	1.00000e+00
N	  3992	1.00000e+00
N	  4019	1.00000e+00
N	  4038	1.00000e+00
N	  4069	1.00000e+00
N	  4094	1.00000e+00
N	  4122	1.00000e+00
N	  4143	1.00000e+00
N	  4167	1.00000e+00
N	  4194	1.00000e+00
N	  4225	1.00000e+00
N	  4251	1.00000e+00
N	  4278	1.00000e+00
N	  4303	1.00000e+00
N	  4327	1.00000e+00
N	  4350	1.00000e+00
N	  4373	1.00000e+00
N	  4398	1.00000e+00
N	  4422	1.00000e+00
N	  4443	1.00000e+00
N	  4465	1.00000e+00
N	  4486	1.00000e+00
N	  4506	1.00000e+00
N	  4527	1.00000e+00
N	  4551	1.00000e+00
N	  4572	1.00000e+00
N	  4589	1.00000e+00
N	  4606	1.00000e+00
N	  4624	1.00000e+00
N	  4641	1.00000e+00
N	  4659	1.00000e+00
N	  4674	1.00000e+00
N	  4688	1.00000e+00
N	  4700	1.00000e+00
N	  4714	1.00000e+00
N	  4723	1.00000e+00
N	  4734	1.00000e+00
N	  4744	1.00000e+00
N	  4752	1.00000e+00
N	  4760	1.00000e+00
N	  4769	1.00000e+00
N	  4774	1.00000e+00
N	  4779	1.00000e+00
N	  4783	1.00000e+00
N	  4786	1.00000e+00
N	  4787	1.00000e+00
