210 203 216
191 182 186
172 164 166
203 191 200
182 172 177
164 154 155
154 146 144
138 130 121
122 119 107
146 138 133
130 122 112
119 114 104
114 113 98
113 115 100
186 182 177
166 164 155
177 172 166
191 186 200
155 154 144
144 146 133
144 133 126
133 138 121
133 121 110
203 200 216
121 130 112
121 112 97
112 122 107
112 107 92
98 113 100
107 119 104
107 86 92
104 114 98
104 98 86
166 155 156
200 186 204
155 144 141
186 177 185
177 166 169
219 216 200
100 87 98
87 75 86
227 219 204
238 227 212
75 63 70
112 92 97
97 92 79
86 98 87
104 86 107
110 121 97
110 97 89
133 110 126
126 110 105
144 126 141
141 126 123
155 141 156
156 141 145
166 156 169
169 156 161
204 186 185
204 185 196
200 204 219
185 177 169
185 169 178
249 238 222
63 54 57
212 227 204
238 212 222
222 212 196
70 63 57
70 57 72
75 70 86
196 212 204
54 41 44
79 92 72
97 79 89
89 79 74
110 89 105
105 89 85
86 70 72
126 105 123
123 105 103
141 123 145
145 123 129
156 145 161
161 145 150
169 161 178
178 161 171
196 185 178
196 178 190
263 249 235
74 79 67
89 74 85
85 74 73
72 57 55
105 85 103
103 85 84
57 54 44
57 44 55
55 44 42
123 103 129
129 103 108
145 129 150
249 222 235
235 222 208
161 150 171
178 171 190
73 74 60
85 73 84
196 208 222
208 196 190
208 190 192
235 208 225
44 41 33
103 84 108
42 44 33
42 33 31
31 33 24
42 31 36
55 42 47
41 29 33
33 29 24
24 29 19
24 19 16
16 19 12
24 20 31
263 235 253
192 190 171
208 192 225
67 79 72
67 72 55
74 67 60
129 108 136
150 129 136
73 60 59
36 31 28
42 36 47
47 36 46
46 36 35
47 46 60
47 60 67
235 225 253
253 225 243
243 225 207
253 243 274
55 47 67
35 36 28
35 28 26
46 35 52
263 253 287
287 253 274
287 274 316
316 274 295
295 274 258
316 295 343
136 108 118
258 274 243
258 243 229
229 243 207
229 207 214
258 229 240
240 229 214
295 258 272
207 225 192
59 60 46
59 46 52
59 52 69
73 59 69
28 31 20
52 35 37
118 108 90
69 52 65
20 24 16
20 16 14
14 16 8
20 14 21
8 16 12
8 12 7
8 7 6
14 8 11
21 14 17
21 17 26
20 21 28
28 21 26
136 118 143
73 69 84
90 108 84
118 90 101
118 101 131
118 131 143
143 131 152
143 152 165
101 90 80
165 152 174
143 162 136
80 90 69
1 3 4
3 6 7
3 7 4
65 80 69
240 272 258
6 11 8
320 360 343
37 50 52
52 50 65
193 214 207
272 320 295
26 37 35
174 193 184
184 193 207
174 184 165
11 17 14
360 392 366
360 366 343
171 150 162
162 150 136
171 162 192
343 295 320
84 69 90
165 184 162
165 162 143
92 86 72
207 192 184
184 192 162
188 201 198
201 211 217
125 134 117
100 115 120
134 140 124
180 188 183
140 148 137
148 159 147
159 167 158
167 180 168
198 201 217
188 198 183
87 100 94
117 134 124
117 124 109
125 117 106
183 198 189
217 220 205
124 140 137
124 137 109
180 183 168
168 183 173
120 125 106
137 148 147
137 147 135
120 94 100
167 168 158
158 168 157
75 87 82
147 159 158
147 158 135
220 228 206
94 120 106
94 106 88
87 94 82
82 94 88
205 220 206
205 206 189
217 205 198
198 205 189
106 117 88
63 75 71
228 239 213
75 82 71
71 82 88
206 228 213
206 213 199
54 63 58
183 189 173
173 189 179
239 250 223
117 109 88
63 71 58
58 71 68
168 173 157
157 173 163
213 239 223
213 223 197
41 54 45
137 135 109
88 109 83
158 157 135
179 189 199
179 199 197
197 199 213
173 179 163
163 179 170
206 199 189
250 264 236
157 163 142
54 58 45
45 58 56
68 71 88
58 68 56
56 68 64
223 250 236
223 236 209
197 223 209
197 209 187
170 179 197
163 170 149
45 56 43
83 109 99
88 83 68
209 236 226
41 45 34
64 68 83
56 64 53
187 209 202
197 187 170
29 41 34
29 34 25
236 264 254
142 163 149
157 142 135
25 34 32
29 25 19
19 25 15
15 25 23
19 15 12
149 170 160
43 56 53
45 43 34
34 43 32
32 43 40
40 43 53
40 53 48
32 40 30
48 53 62
40 48 39
99 109 135
83 99 78
226 236 254
226 254 244
244 254 275
226 244 218
209 226 202
53 64 62
187 202 181
254 264 288
254 288 275
275 288 317
275 317 297
297 317 344
275 297 259
25 32 23
23 32 30
23 30 22
22 30 27
23 22 13
30 40 39
30 39 27
13 22 18
18 22 27
23 13 15
15 13 9
9 13 10
15 9 12
12 9 7
7 9 5
259 297 271
275 259 244
244 259 231
231 259 241
244 231 218
231 241 215
218 231 215
160 170 187
39 48 49
149 160 139
226 218 202
48 62 61
78 99 95
83 78 64
181 202 195
187 181 160
49 48 61
139 160 151
61 62 76
39 49 38
149 139 127
95 99 116
78 95 76
195 202 218
181 195 176
151 160 181
76 62 78
127 139 111
176 195 194
139 151 128
61 76 77
149 127 142
181 176 151
391 359 367
367 359 331
331 359 319
331 319 297
367 331 344
344 331 297
153 132 151
18 10 13
66 51 49
49 51 38
111 139 128
128 151 132
319 271 297
102 81 91
91 81 77
91 77 93
93 77 76
91 93 111
111 96 127
102 91 128
5 2 7
194 175 176
176 175 153
38 27 39
132 102 128
10 5 9
215 194 195
271 241 259
81 66 77
2 1 4
2 4 7
61 77 66
111 128 91
64 78 62
49 61 66
195 218 215
142 127 116
116 127 96
142 116 135
96 111 93
96 93 76
116 96 95
95 96 76
116 99 135
151 176 153
237 248 251
248 262 265
262 276 281
211 224 217
276 284 296
293 300 325
224 237 234
284 293 308
300 304 327
304 309 332
312 313 333
310 306 334
309 312 338
313 310 339
251 248 265
281 276 296
234 237 251
265 262 281
296 284 308
308 293 325
308 325 346
224 234 217
325 300 327
325 327 352
332 309 338
332 338 362
338 312 333
338 363 362
327 304 332
327 332 361
333 313 339
333 339 363
339 310 334
281 296 321
234 251 246
296 308 335
251 265 270
265 281 294
220 217 234
334 358 339
358 380 363
228 220 246
239 228 256
380 409 395
332 362 361
361 362 389
363 339 358
333 363 338
352 327 361
352 361 385
325 352 346
346 352 378
308 346 335
335 346 369
296 335 321
321 335 356
281 321 294
294 321 340
246 251 270
246 270 279
234 246 220
270 265 294
270 294 307
250 239 267
409 433 421
