165 161 128 129 162 142 127 144
161 166 138 128 163 149 132 142
166 175 148 138 170 164 140 149
175 193 169 148 182 179 159 164
193 207 197 169 200 202 183 179
207 223 220 197 213 221 210 202
223 238 242 220 230 240 231 221
238 256 260 242 247 257 251 240
256 275 277 260 265 276 266 257
275 298 301 277 285 300 286 276
298 318 322 301 309 320 311 300
318 340 346 322 334 343 337 320
346 356 326 322 351 339 325 337
356 368 328 326 362 345 327 339
101 129 128 104 111 127 114 102
368 383 321 328 378 354 324 345
69 101 104 76 86 102 88 73
383 412 313 321 395 360 316 354
52 69 76 55 61 73 65 53
612 672 558 546 644 622 554 581
412 447 372 313 429 405 342 360
540 612 546 493 571 581 525 517
447 489 431 372 472 457 397 405
489 540 493 431 514 517 460 457
36 52 55 40 44 53 46 38
25 12 7 26 17 10 16 23
558 467 493 546 511 478 525 554
493 467 386 431 478 422 406 460
431 386 330 372 406 359 348 397
372 330 272 313 348 304 292 342
26 36 40 25 30 38 31 23
272 229 241 313 250 233 274 292
34 21 25 40 29 19 31 35
229 186 188 241 209 181 215 233
50 34 40 54 43 35 45 51
186 119 122 188 151 117 153 181
78 50 54 82 64 51 66 79
119 78 82 122 95 79 100 117
322 326 297 301 325 312 299 311
277 301 297 283 286 299 288 279
260 277 283 267 266 279 273 264
104 128 138 109 114 132 123 106
138 148 121 109 140 135 112 123
148 169 131 121 159 147 126 135
76 104 109 87 88 106 97 83
242 260 267 248 251 264 258 245
220 242 248 224 231 245 235 222
197 220 224 189 210 222 206 194
169 197 189 131 183 194 160 147
55 76 87 68 65 83 74 60
326 328 289 297 327 308 294 312
283 297 289 267 288 294 278 273
40 55 68 54 46 60 59 45
328 321 270 289 324 296 280 308
321 313 241 270 316 274 255 296
82 54 68 90 66 59 81 84
122 82 90 131 100 84 108 125
188 122 131 189 153 125 160 187
188 189 224 241 187 206 232 215
241 224 248 270 232 235 261 255
267 289 270 248 278 280 261 258
68 87 96 90 74 91 93 81
131 90 96 121 108 93 107 126
96 87 109 121 91 97 112 107
5 1 7 12 2 4 10 8
5 12 25 21 8 17 19 15
346 340 365 381 343 353 371 364
557 575 635 620 565 605 631 594
538 557 620 596 548 594 602 562
519 538 596 551 528 562 568 532
495 519 551 527 504 532 535 507
471 495 527 497 481 507 509 485
441 471 497 470 454 485 483 452
415 441 470 438 427 452 450 425
387 415 438 411 399 425 419 398
365 387 411 381 376 398 393 371
356 346 381 404 351 364 392 380
368 356 404 456 362 380 432 410
635 692 679 620 661 684 649 631
383 368 456 560 378 410 503 465
692 735 727 679 711 730 707 684
412 383 560 566 395 465 563 486
735 768 767 727 750 766 749 730
672 612 637 676 644 624 655 673
447 412 566 584 429 486 570 506
612 540 619 637 571 578 630 624
489 447 584 599 472 506 592 537
540 489 599 619 514 537 607 578
768 790 796 767 779 794 783 766
838 833 824 830 836 831 826 835
685 676 637 619 680 655 630 651
685 619 599 700 651 607 653 693
700 599 584 713 653 592 658 705
713 584 566 733 658 570 668 720
733 566 560 747 668 563 683 739
833 823 813 824 828 817 819 831
762 747 560 675 754 683 627 728
823 810 796 813 816 803 804 817
777 762 675 726 771 728 704 755
810 800 781 796 806 791 786 803
789 777 726 758 785 755 744 775
800 789 758 781 798 775 773 791
790 808 813 796 801 811 804 794
813 808 830 824 811 820 826 819
596 620 679 654 602 649 664 628
551 596 654 601 568 628 633 576
404 381 411 449 392 393 428 426
411 438 458 449 419 446 451 428
438 470 499 458 450 484 477 446
470 497 539 499 483 520 521 484
497 527 549 539 509 533 544 520
527 551 601 549 535 576 574 533
679 727 718 654 707 724 698 664
727 767 757 718 749 759 740 724
767 796 781 757 783 786 772 759
456 404 449 531 432 426 488 492
560 456 531 675 503 492 609 627
449 458 499 531 451 477 513 488
726 675 531 643 704 609 589 696
531 499 539 643 513 521 593 589
781 758 718 757 773 742 740 772
758 726 643 718 744 696 689 742
654 718 643 601 698 689 621 633
643 539 549 601 593 544 574 621
575 588 641 635 585 614 640 605
588 587 634 641 590 610 639 614
587 569 626 634 579 600 632 610
569 552 608 626 561 583 615 600
552 530 573 608 543 550 595 583
530 502 534 573 522 524 553 550
502 476 498 534 491 487 516 524
476 445 463 498 464 453 480 487
445 417 433 463 436 423 444 453
417 389 402 433 401 394 416 423
389 366 375 402 377 370 388 394
366 341 347 375 355 344 361 370
347 357 390 375 352 373 382 361
357 369 418 390 363 391 403 373
692 635 641 690 661 640 662 691
369 384 474 418 379 424 443 391
735 692 690 729 711 691 710 734
384 413 564 474 396 482 512 424
768 735 729 763 750 734 748 765
613 671 677 638 645 674 656 625
413 448 580 564 430 505 567 482
541 613 638 617 572 625 629 577
448 490 598 580 473 536 591 505
490 541 617 598 515 577 606 536
790 768 763 795 779 765 780 793
677 686 617 638 681 650 629 656
822 834 825 814 829 832 821 818
617 686 701 598 650 694 652 606
598 701 712 580 652 706 657 591
580 712 732 564 657 721 666 567
808 790 795 814 801 793 805 812
732 746 660 564 738 714 618 666
809 822 814 795 815 818 805 802
746 761 716 660 753 741 697 714
799 809 795 782 807 802 787 792
761 776 743 716 770 760 731 741
788 799 782 764 797 792 774 778
776 788 764 743 784 778 752 760
375 390 420 402 382 407 414 388
433 402 420 440 416 414 435 437
690 641 634 682 662 639 659 688
634 626 670 682 632 647 678 659
626 608 663 670 615 642 667 647
608 573 636 663 595 604 648 642
573 534 586 636 553 556 611 604
534 498 523 586 516 508 545 556
463 433 440 475 444 437 455 469
498 463 475 523 480 469 496 508
729 690 682 719 710 688 703 725
390 418 462 420 403 439 442 407
763 729 719 751 748 725 736 756
418 474 542 462 443 501 500 439
474 564 660 542 512 618 603 501
795 763 751 782 780 756 769 787
764 782 751 723 774 769 737 745
743 764 723 699 752 745 709 722
716 743 699 646 731 722 669 687
660 716 646 542 697 687 597 603
682 670 708 719 678 695 715 703
708 723 751 719 717 737 736 715
670 663 723 708 667 702 717 695
723 663 636 699 702 648 665 709
699 636 586 646 665 611 616 669
646 586 523 542 616 545 529 597
542 523 475 462 529 496 468 500
462 475 440 420 468 455 435 442
830 808 814 825 820 812 821 827
830 825 834 838 827 832 837 835
347 341 314 317 344 332 315 336
172 165 129 139 168 144 136 156
190 172 139 158 180 156 146 173
203 190 158 174 196 173 167 191
217 203 174 195 211 191 184 205
234 217 195 204 225 205 199 219
252 234 204 227 243 219 214 237
269 252 227 254 259 237 239 262
314 293 287 317 307 290 305 315
293 269 254 287 282 262 268 290
357 347 317 323 352 336 319 338
369 357 323 295 363 338 310 335
129 101 105 139 111 103 120 136
384 369 295 281 379 335 284 333
101 69 75 105 86 72 89 103
413 384 281 331 396 333 306 367
69 52 58 75 61 57 67 72
671 613 547 559 645 582 555 623
448 413 331 374 430 367 350 409
613 541 494 547 572 518 526 582
490 448 374 434 473 409 400 459
541 490 434 494 515 459 461 518
52 36 41 58 44 39 47 57
1 6 13 7 3 9 11 4
466 559 547 494 510 555 526 479
466 494 434 385 479 461 408 421
385 434 374 329 408 400 349 358
329 374 331 271 349 350 302 303
271 331 281 228 302 306 253 249
6 20 27 13 14 22 18 9
185 228 281 216 208 253 246 201
323 317 287 295 319 305 291 310
20 33 41 27 28 37 32 22
118 185 216 155 150 201 192 134
33 49 62 41 42 56 48 37
77 118 155 99 94 134 124 85
49 77 99 62 63 85 80 56
36 26 27 41 30 24 32 39
27 26 7 13 24 16 11 18
158 139 105 130 146 120 115 141
287 254 236 295 268 244 263 291
281 295 236 216 284 263 226 246
254 227 198 236 239 212 218 244
227 204 143 198 214 178 171 212
216 236 198 155 226 218 177 192
204 195 157 143 199 176 152 178
195 174 137 157 184 154 145 176
155 198 143 99 177 171 116 124
174 158 130 137 167 141 133 154
58 41 62 92 47 48 71 70
62 99 143 92 80 116 113 71
143 157 137 92 152 145 110 113
137 130 105 92 133 115 98 110
92 105 75 58 98 89 67 70

